157	452440853	290.0	Thom Browne Navy Cashmere Striped Tie	25337	Thom Browne	http://bim.shopstyle.com/pim/f1/a4/f1a44e7548df37480cdfa8200c288fca_best.jpg	"Cashmere tie in navy blue. Striped throughout in red and white. Tonal stitching. Approx. 56"" length, 2"" width. 100% cashmere. Made in United States"	SSENSE	unknown	unknown
299	458618324	185.0	Luciano Barbera Plaid Neck Tie	1565	Luciano Barbera	http://bim.shopstyle.com/pim/93/76/9376033ff653dbf18a71db16f0c8b7e7_best.jpg	"Luciano Barbera dark green and multicolor plaid wool-blend flannel neck tie. Self-keeper, contrast faille facing. 3.25"" width, approximately. Available in Dark Green/Multi. Wool/cashmere/silk; lining: cupro. Dry clean. Made in Italy."	Barneys New York	_plaid	_wool
388	453818215	295.0	Kiton Wool-Silk Track-Stripe Tie, Gray/Pink	1452	Kiton	http://bim.shopstyle.com/pim/77/a8/77a827a4e9109b0fef9c0fe5b006b50e_best.jpg	"<ul><li>Track-striped sevenfold tie by Kiton. </li><li>Approx. 3 1/4"" at widest. </li><li>Wool/silk/cashmere. </li><li>Made in Italy. </li></ul>"	Neiman Marcus	_striped	_silk
487	461282693	101.8	Marinella Vintage knitted tie	0		http://bim.shopstyle.com/pim/0c/32/0c32fce2ccbc118bf7ffdf02f6513175_best.jpg	Green melange cashmere knitted 90s tie from Marinella Vintage featuring a pointed tip and a branded rear patch. Please note that vintage items are not new and therefore might have minor imperfections.	farfetch.com	unknown	unknown
577	455183077	250.0	Boglioli Cashmere Tie	14635	Boglioli	http://bim.shopstyle.com/pim/07/e7/07e78d70f02c79e31cd24f1a401fd160_best.jpg	Flawlessly crafted in Italy from pure cashmere, Boglioli 's tie is an exquisite example of the company's fine Italian craftsmanship. Wear this plush piece to add a louche element of texture and rich colour to refined outfits. Shown here with a Charvet shirt . <ul> <li>Brick-orange cashmere tie</li> <li>Burgundy and brown tip</li> <li>100% cashmere</li> <li>Made in Italy</li> </ul>	MR PORTER	unknown	unknown
837	458618280	185.0	Luciano Barbera Plaid Neck Tie	1565	Luciano Barbera	http://bim.shopstyle.com/pim/94/67/9467751bf6ebd9d30ee88a4d4ad73361_best.jpg	"Luciano Barbera dark grey and dark brown plaid wool flannel neck tie. Self-keeper, contrast faille facing. 3.25"" width, approximately. Available in Dark Grey/Dark Brown. Wool/cashmere/silk; lining: cupro. Dry clean. Made in Italy."	Barneys New York	_plaid	_wool
839	456756482	150.0	Barneys New York Plaid Jacquard Neck Tie	2363	Barneys New York	http://bim.shopstyle.com/pim/44/81/4481baf603ede7444781f9ab620c5525_best.jpg	"Exclusively Ours! Barneys New York grey plaid jacquard virgin wool-cashmere neck tie. 3"" width, approximately. Available in Grey. Virgin wool/cashmere. Dry clean. Made in Italy."	Barneys New York	_plaid	_wool
840	461099370	295.0	Kiton Woven Neck Tie	1452	Kiton	http://bim.shopstyle.com/pim/69/1d/691d8a209798f40d541d07921b623651_best.jpg	"Kiton red and orange wool-blend woven neck tie. Medium-weight woven wool-blend. 3.75"" width, approximately. Available in Red/Orange. Wool/cashmere/silk. Dry clean. Made in Italy."	Barneys New York	unknown	_wool
854	457709547	235.0	Isaia Cashmere-Wool Knit Neck Tie	0		http://bim.shopstyle.com/pim/fe/6b/fe6b2ac45359f7dd8c447befd24e8fd6_best.jpg	"Isaia royal blue cashmere-wool knit neck tie. 3.25"" width, approximately. Keeper loop at back. Lined. Available in Royal Blue. Cashmere/wool. Dry clean. Made in Italy."	Barneys New York	unknown	_wool
1101	452412129	170.28	Dolce & Gabbana tweed tie	1076	Dolce & Gabbana	http://bim.shopstyle.com/pim/4c/48/4c48f86949fdb6ee79d51a08d3a6ec97_best.jpg	Black silk and cashmere blend tweed tie from Dolce & Gabbana featuring a pointed tip.	farfetch.com	unknown	_silk
1124	460964123	178.26	Kiton textured pointed tip tie	1452	Kiton	http://bim.shopstyle.com/pim/64/dd/64dd48e5815aed324063469799ccd732_best.jpg	Blue wool, silk and cashmere blend textured pointed tip tie from Kiton.	farfetch.com	unknown	_wool
1127	457585879	245.0	Brunello Cucinelli pointed tie	8296	Brunello Cucinelli	http://bim.shopstyle.com/pim/24/2b/242b7d145b29899dba688d5b829c1831_best.jpg	Grey wool-silk-cashmere blend pointed tie from Brunello Cucinelli.	farfetch.com	unknown	_wool
1267	459603249	75.0	MAC ALAN 1831 Knit Tie	0		http://bim.shopstyle.com/pim/cd/3b/cd3bce6cc4b9706b012e67777fd52840_best.jpg	"A rustic texture marks a sharp tie knit from wool and cashmere. <ul> <li>2 1/2"" width; 55 1/2"" length.</li> <li>80% wool, 20% cashmere.</li> <li>Dry clean.</li> <li>By Mac Alan 1831; made in Italy.</li> <li>Men's Furnishings.</li> </ul>"	Nordstrom	unknown	_wool
1353	456756396	150.0	Barneys New York Textured Woven Neck Tie	2363	Barneys New York	http://bim.shopstyle.com/pim/f9/da/f9da7987ef6166677ea2ce92460e28d8_best.jpg	"Exclusively Ours! Barneys New York brown wool-cashmere textured woven neck tie. 3"" width, approximately. Available in Brown. Wool/cashmere. Dry clean. Made in Italy."	Barneys New York	unknown	_wool
1374	459113944	155.0	Ralph Lauren Black Label Cashmere Neck Tie	1874	Ralph Lauren Black Label	http://bim.shopstyle.com/pim/f2/33/f233a6ad28ac482a3d1ea96038e2e78b_best.jpg	"Ralph Lauren Black Label navy cashmere knit neck tie. 2.25"" width, approximately. Available in Navy. Cashmere. Dry clean. Made in Italy."	Barneys New York	unknown	unknown
1438	456460828	85.0	Polo Ralph Lauren Solid Knit Cashmere Tie	462	Polo Ralph Lauren	http://bim.shopstyle.com/pim/b6/5a/b65a79c9dfa8462f07b0be84e4e6b9d6_best.jpg	"This slim Italian-made tie is knit from ultra-soft cashmere and has a modern and sophisticated look. <ul> <li>Silk grosgrain taping at the collar area ensures a smooth drape.</li> <li>Fine-ribbed finish at each end.</li> <li>2¼"" wide. 100% cashmere. Dry clean. Made in Italy.</li> </ul>"	Ralph Lauren	unknown	unknown
1448	461958754	85.0	Polo Ralph Lauren Solid Cable-Knit Cashmere Tie	462	Polo Ralph Lauren	http://bim.shopstyle.com/pim/6d/56/6d560f723a0c8a2d9fe59098c901b677_best.jpg	"This slim, cable-knit tie is handmade in Italy from ultra-soft cashmere and has a modern and sophisticated look. <ul> <li>Silk grosgrain taping at the collar area ensures a smooth drape.</li> <li>Fine-ribbed finish at each end.</li> <li>2¼"" wide. 100% cashmere. Dry clean. Made in Italy.</li> </ul>"	Ralph Lauren	unknown	unknown
2426	459530184	171.0	Robert Talbott Cashmere Stripe Tie, Black	1918	Robert Talbott	http://bim.shopstyle.com/pim/b0/de/b0de8839cf064b1a8fab549c9c4f33a6_best.jpg	"<ul><li>From the Robert Talbott Fall 2014 Collection.</li><li>Multi-rack cashmere stripe tie. </li><li>Approx. 3 1/4"" at widest. </li><li>Made in USA of Italian material. </li></ul>"	Neiman Marcus	_striped	unknown
2456	453818217	295.0	Kiton Wool-Silk Stripe Tie, Navy/Gray	1452	Kiton	http://bim.shopstyle.com/pim/00/82/0082abacf7df3a0912ffa5857de36d55_best.jpg	"<ul><li>Striped sevenfold tie by Kiton. </li><li>Approx. 3 1/4"" at widest. </li><li>Wool/silk/cashmere. </li><li>Made in Italy. </li></ul>"	Neiman Marcus	unknown	_silk
2792	460924697	115.0	Kiton Cashmere Tie	1452	Kiton	http://bim.shopstyle.com/pim/7b/1e/7b1ee1e0d2ed26153b37dbb35cdbe926_best.jpg	Men's rust and brown Kiton cashmere necktie with stripes throughout.	TheRealReal	_striped	unknown
3070	464828951	94.3	Z Zegna textured tie	2264	Z Zegna	http://bim.shopstyle.com/pim/30/85/30850a6f4e5ad0c193384d51596dd72a_best.jpg	Blue/grey silk, cashmere and wool blend textured tie from Z Zegna.	farfetch.com	unknown	_wool
3133	453854869	129.42	Marinella Vintage woven tie	0		http://bim.shopstyle.com/pim/43/8c/438ce72e80eecb01a4664f085bf9c5f2_best.jpg	Brown and blue cashmere woven tie from Marinella Vintage featuring a pointed tip. Please note that vintage items are not new and therefore might have minor imperfections. From 1990.	farfetch.com	unknown	unknown
3150	455668637	316.32	Title Of Work two-tone tie	0		http://bim.shopstyle.com/pim/93/37/9337eb5a7ea5d3f35bdcad992a637f86_best.jpg	Navy blue and black cashmere and silk tie from Title Of Work featuring a panelled colour block design, a pointed tip and stitching details.	farfetch.com	unknown	_silk
3391	460964087	178.26	Kiton textured pointed tip tie	1452	Kiton	http://bim.shopstyle.com/pim/45/09/45092768ab09b266f89f984538a302fe_best.jpg	Green wool,silk and cashmere blend textured pointed tip tie from Kiton.	farfetch.com	unknown	_wool
3600	462663369	215.0	Emma Willis Cashmere Tie	0		http://bim.shopstyle.com/pim/07/77/0777f9d35afa595d5e66eee9b68ae0ba_best.jpg	Emma Willis ' navy tie is a dapper addition to smart looks. Exquisitely crafted in England from sumptuous cashmere, this simple style works just as well with printed shirts as it does a crisp white one. Shown here with a Charvet shirt . <ul> <li>Navy cashmere tie</li> <li>100% cashmere</li> <li>Dry clean</li> <li>Made in England</li> </ul>	MR PORTER	_print	unknown
3604	457879379	195.0	Drake's Woven Cashmere Tie	2861	Drakes	http://bim.shopstyle.com/pim/49/9c/499c667314060a0409d98a5543e81766_best.jpg	Expertly crafted by hand, Drake's woven cashmere tie is a wardrobe essential. The London-based label is renowned for their impeccable, reliable quality and this is no exception. Fully lined in faille for a smooth drape, you'll reach for this smart standby frequently and always with confidence. Shown here with a Charvet shirt . <ul> <li>Marl-grey woven cashmere tie</li> <li>100% cashmere</li> <li>Dry clean</li> <li>Handmade in London</li> </ul>	MR PORTER	unknown	unknown
3605	457879430	195.0	Drake's Woven Cashmere Tie	2861	Drakes	http://bim.shopstyle.com/pim/52/d8/52d8987b86b702b9ff03da507631a222_best.jpg	Handcrafted in London and fully lined in silk faille, Drake's navy cashmere tie is simple and substantial. Wear yours at nearly any occasion - it's a smart piece to bolster your business-casual wardrobe. Shown here with a Charvet shirt . <ul> <li>Navy woven cashmere tie</li> <li>100% cashmere</li> <li>Dry clean</li> <li>Handmade in London</li> </ul>	MR PORTER	unknown	_silk
3835	460836133	175.0	Petronius Plain-Weave Neck Tie	0		http://bim.shopstyle.com/pim/89/e8/89e828b459c1e238cc50dd477b4188bf_best.jpg	"Petronius dark green cashmere plain-weave neck tie. Self-keeper. 3.5"" width, approximately. Available in Dark Green. Cashmere. Dry clean. Made in Italy."	Barneys New York	unknown	unknown
3836	460836195	175.0	Petronius Plain-Weave Neck Tie	0		http://bim.shopstyle.com/pim/13/86/138659bba58158ba126a004a3614f86a_best.jpg	"Petronius purple cashmere plain-weave neck tie. Self-keeper. 3.5"" width, approximately. Available in Purple. Cashmere. Dry clean. Made in Italy."	Barneys New York	unknown	unknown
3864	456756678	150.0	Barneys New York Check Jacquard Neck Tie	2363	Barneys New York	http://bim.shopstyle.com/pim/a7/3d/a73ddbe73de839be869a6e3f10a14652_best.jpg	"Exclusively Ours! Barneys New York navy check jacquard virgin wool-blend neck tie. 3"" width, approximately. Available in Navy. Virgin wool/cotton/cashmere. Dry clean. Made in Italy."	Barneys New York	unknown	_cotton
3874	456756764	150.0	Barneys New York Textured-Weave Neck Tie	2363	Barneys New York	http://bim.shopstyle.com/pim/80/82/80826f7a8ea93d122f32a77655482626_best.jpg	"Exclusively Ours! Barneys New York navy and white weft textured-weave virgin wool-cashmere neck tie. 3"" width, approximately. Available in Navy/White. Virgin wool/cashmere. Dry clean. Made in Italy."	Barneys New York	unknown	_wool
3881	461099686	295.0	Kiton Woven Neck Tie	1452	Kiton	http://bim.shopstyle.com/pim/09/16/0916660f0cedc076535a9fe52d59d7eb_best.jpg	"Kiton teal and blue wool-blend woven neck tie. Medium-weight woven wool-blend. 3.75"" width, approximately. Available in Teal/Blue. Wool/cashmere/silk. Dry clean. Made in Italy."	Barneys New York	unknown	_wool
3902	460431639	165.0	Barneys New York Woven Neck Tie	2363	Barneys New York	http://bim.shopstyle.com/pim/dc/b8/dcb80a8571eb56d44ff062abdf42e418_best.jpg	"Exclusively Ours! Barneys New York midnight blue wool-blend rustic weave neck tie. 3"" width, approximately. Available in Midnight Blue. Wool/cashmere/silk/ LYCRA. Dry clean. Made in Italy."	Barneys New York	unknown	_wool
3903	460431702	165.0	Barneys New York Woven Neck Tie	2363	Barneys New York	http://bim.shopstyle.com/pim/fa/35/fa3537215e640e2947c2bf56eedf313e_best.jpg	"Exclusively Ours! Barneys New York purple wool-blend rustic weave neck tie. 3"" width, approximately. Available in Purple. Wool/cashmere/silk/ LYCRA. Dry clean. Made in Italy."	Barneys New York	unknown	_wool
3904	460431725	165.0	Barneys New York Woven Neck Tie	2363	Barneys New York	http://bim.shopstyle.com/pim/ef/7b/ef7bf0ba7cc4b71cafb8a5237018a580_best.jpg	"Exclusively Ours! Barneys New York grey wool-blend rustic weave neck tie. 3"" width, approximately. Available in Grey. Wool/cashmere/silk/ LYCRA. Dry clean. Made in Italy."	Barneys New York	unknown	_wool
3905	460431874	165.0	Barneys New York Woven Neck Tie	2363	Barneys New York	http://bim.shopstyle.com/pim/b4/89/b489b15e324cdbc67db6b0c1fb1732e8_best.jpg	"Exclusively Ours! Barneys New York royal blue wool-blend rustic weave neck tie. 3"" width, approximately. Available in Royal Blue. Wool/cashmere/silk/ LYCRA. Dry clean. Made in Italy."	Barneys New York	unknown	_wool
3906	460836034	155.0	Barneys New York Plaid Neck Tie	2363	Barneys New York	http://bim.shopstyle.com/pim/80/c3/80c3802a3c302493028f4147e16f156e_best.jpg	"Exclusively Ours! Barneys New York black and white plaid wool-blend neck tie. 3"" width, approximately. Available in Grey/Navy/Red. Wool/silk/linen/cashmere. Dry clean. Made in Italy."	Barneys New York	_plaid	_wool
3911	461500350	145.0	Drake's Check Neck Tie	2861	Drakes	http://bim.shopstyle.com/pim/b9/5f/b95fbbb50422d86fa28e268f2f2fc977_best.jpg	"Drake's Wine (bordeaux), light grey and light blue check-pattern cashmere woven neck tie. Lightweight woven cashmere. Lined with black silky twill. 3.25"" width, approximately. Available in Wine (bordeaux)/Light Grey/Light Blue. Cashmere. Dry clean. Handmade in U.K. ."	Barneys New York	unknown	_silk
3928	459113286	155.0	Ralph Lauren Black Label Cashmere Neck Tie	1874	Ralph Lauren Black Label	http://bim.shopstyle.com/pim/14/99/1499093d5c1ef74b6e09b90880075d02_best.jpg	"Ralph Lauren Black Label charcoal cashmere knit neck tie. 2.25"" width, approximately. Available in Charcoal. Cashmere. Dry clean. Made in Italy."	Barneys New York	unknown	unknown
3935	460836040	175.0	Petronius Diagonal-Stripe Neck Tie	0		http://bim.shopstyle.com/pim/bd/6b/bd6b9ced5a84c243e1d26982993fd0fe_best.jpg	"Petronius blue and navy diagonal-stripe cashmere plain-weave neck tie. Self-keeper. 3.5"" width, approximately. Available in Blue/Navy. Cashmere. Dry clean. Made in Italy."	Barneys New York	_striped	unknown
3937	460836045	175.0	Petronius Plain-Weave Neck Tie	0		http://bim.shopstyle.com/pim/4b/97/4b97da977676b7b5b525512d3300b986_best.jpg	"Petronius navy cashmere plain-weave neck tie. Self-keeper. 3.5"" width, approximately. Available in Navy. Cashmere. Dry clean. Made in Italy."	Barneys New York	unknown	unknown
3938	460836127	175.0	Petronius Diagonal-Stripe Neck Tie	0		http://bim.shopstyle.com/pim/61/49/6149a2e566c8798a49a470ab21955655_best.jpg	"Petronius dark green, light blue and navy diagonal-stripe cashmere plain-weave neck tie. Self-keeper. 3.5"" width, approximately. Available in Dark Green/Light Blue/Navy. Cashmere. Dry clean. Made in Italy."	Barneys New York	_striped	unknown
3939	460836194	175.0	Petronius Abstract-Pattern Neck Tie	0		http://bim.shopstyle.com/pim/19/7c/197cd9ad6b8c01ab2648a035817c2c67_best.jpg	"Petronius blue and navy abstract-pattern cashmere plain-weave neck tie. Self-keeper. 3.5"" width, approximately. Available in Blue/Navy. Cashmere. Dry clean. Made in Italy."	Barneys New York	unknown	unknown
3940	460836969	175.0	Petronius Plain-Weave Neck Tie	0		http://bim.shopstyle.com/pim/b9/b1/b9b1426b633cb5f7cc8b97349da4f426_best.jpg	"Petronius dark brown cashmere plain-weave neck tie. Self-keeper. 3.5"" width, approximately. Available in Dark Brown. Cashmere. Dry clean. Made in Italy."	Barneys New York	unknown	unknown
3942	460837034	175.0	Petronius Diagonal-Stripe Neck Tie	0		http://bim.shopstyle.com/pim/a3/cf/a3cf8a82a6692b2b57810b5c45e3529a_best.jpg	"Petronius grey and navy diagonal-stripe cashmere plain-weave neck tie. Self-keeper. 3.5"" width, approximately. Available in Grey/Navy. Cashmere. Dry clean. Made in Italy."	Barneys New York	_striped	unknown
3943	460837051	175.0	Petronius Diagonal-Stripe Neck Tie	0		http://bim.shopstyle.com/pim/46/a3/46a31e728e96b2f684d81bafbbc4f992_best.jpg	"Petronius purple, green and orange diagonal-stripe cashmere plain-weave neck tie. Self-keeper. 3.5"" width, approximately. Available in Purple/Green/Orange. Cashmere. Dry clean. Made in Italy."	Barneys New York	_striped	unknown
3998	457709582	235.0	Isaia Cashmere-Wool Knit Neck Tie	0		http://bim.shopstyle.com/pim/bb/fd/bbfdf7eb7dedb40a7095bfa66e9128c1_best.jpg	"Isaia purple cashmere-wool knit neck tie. 3.25"" width, approximately. Keeper loop at back. Lined. Available in Purple. Cashmere/wool. Dry clean. Made in Italy."	Barneys New York	unknown	_wool
4030	457257908	235.0	Isaia Mélange Cashmere Neck Tie	0		http://bim.shopstyle.com/pim/69/a1/69a1b8f9e5f8010653ae6bdff562028e_best.jpg	"Isaia mélange brown and blue cashmere neck tie. 3.5"" width, approximately. Available in Brown/Blue. Cashmere. Dry clean. Made in Italy."	Barneys New York	unknown	unknown
4087	459565159	155.0	Ralph Lauren Black Label Herringbone Knit Cashmere Tie	1874	Ralph Lauren Black Label	http://bim.shopstyle.com/pim/13/1e/131ef7728bd1d6fad09b633d36ef921f_best.jpg	"This herringbone tie is hand-knit in Italy from lustrous cashmere and designed with a slim silhouette. <ul> <li>Silk grosgrain taping at the collar to ensure a smooth drape.</li> <li>Fine-ribbed finish at each end.</li> <li>2"" wide. 100% cashmere. Dry clean. Made in Italy.</li> </ul>"	Ralph Lauren	unknown	unknown
4132	445493971	125.0	Glen Plaid Tie	3415	Brooks Brothers	http://bim.shopstyle.com/pim/43/13/431393535450e550dc6bd378205e42a8_best.jpg	"Wool and cashmere, 21⁄4"" width, grosgrain trim at neck. Dry clean. Made in the USA."	Brooks Brothers	unknown	unknown
4259	459601058	85.0	MAC ALAN 1831 Woven Wool, Cashmere & Silk Tie	0		http://bim.shopstyle.com/pim/ab/51/ab51fc41d405a1775ebfadcce610939c_best.jpg	"Off-kilter plaid marks a vintage-style tie cut from wool, cashmere and silk. <ul> <li>2 3/4"" width; 59"" length.</li> <li>70% wool, 20% cashmere, 10% silk.</li> <li>Dry clean.</li> <li>By Mac Alan 1831; made in Italy.</li> <li>Men's Furnishings.</li> </ul>"	Nordstrom	_plaid	_wool
4551	459602368	85.0	MAC ALAN 1831 Woven Cashmere, Wool & Silk Tie	0		http://bim.shopstyle.com/pim/96/f5/96f52c555a0159790f108feef03c34f6_best.jpg	"Regimented stripes define a handsome tie cut from a blend of cashmere, wool and silk. <ul> <li>3"" width; 57"" length.</li> <li>70% cashmere, 20% wool, 10% silk.</li> <li>Dry clean.</li> <li>By Mac Alan 1831; made in Italy.</li> <li>Men's Furnishings.</li> </ul>"	Nordstrom	_striped	_wool
4616	461650332	135.0	Z Zegna Woven Tie	2264	Z Zegna	http://bim.shopstyle.com/pim/e9/64/e964e22166271e993258014de262f144_best.jpg	"Muted plaid patterns a smart Italian tie crafted from a fine fabric blend that's infused with wool, silk and cashmere. <ul> <li>2 1/2"" width; 58"" length.</li> <li>37% polyester, 30% wool, 25% silk, 8% cashmere.</li> <li>Dry clean.</li> <li>By Z Zegna; made in Italy.</li> <li>Men's Designer.</li> </ul>"	Nordstrom	_plaid	_polyester
4775	459603611	85.0	John W. Nordstrom® John W. Nordstrom 'Gavin' Woven Tie	1386	John W. Nordstrom	http://bim.shopstyle.com/pim/8d/3a/8d3a61d1a69642740802e0b56362c644_best.jpg	"A classically striped tie is woven in Italy from a luxe blend of wool, cashmere and silk. <ul> <li>3"" width; 58"" length.</li> <li>42% wool, 33% cashmere, 25% silk.</li> <li>Dry clean.</li> <li>By John W. Nordstrom; made in Italy.</li> <li>Men's Furnishings.</li> </ul>"	Nordstrom	_striped	_wool
4964	464145887	95.0	Todd Snyder White Label Cashmere Tie	30953	Todd Snyder	http://bim.shopstyle.com/pim/25/32/253274fac75cd33fa0ae235c98bb203c_best.jpg	"A classic sweater knit updates a casual striped tie formed from pure cashmere. <ul> <li>2 1/4"" width; 57 1/2"" length.</li> <li>100% cashmere.</li> <li>Spot clean.</li> <li>By Todd Snyder White Label; made in Italy.</li> <li>Men's Furnishings.</li> </ul>"	Nordstrom	_striped	unknown
5008	459744951	85.0	MAC ALAN 1831 Woven Wool Blend Tie	0		http://bim.shopstyle.com/pim/23/75/23756432df1d93240a0f47865de750da_best.jpg	"A rustic texture defines a handsome tie cut from a wool-blend and finished with a touch of cashmere and silk. <ul> <li>3"" width; 58"" length.</li> <li>60% wool, 25% virgin wool, 10% cashmere, 5% silk.</li> <li>Dry clean.</li> <li>By Mac Alan 1831; made in Italy.</li> <li>Men's Furnishings.</li> </ul>"	Nordstrom	unknown	_wool
